S.NO.,Key,Title,Description,Pre-condition,Estimated Effort(in mins),Automation Key,Step Type,Datasets/Examples,Keyword,Steps,Linked Case,Linked Case Version,Data,Expected Result,Step Id
1,SOFT-TC-1,"Daum PotPlayer - přehravač přehraje video formáty - AVI,MKV,MP4","PotPlayer is a multimedia (Link: https://en.wikipedia.org/wiki/Media_player_(software) )  software player developed for the Microsoft Windows (Link: https://en.wikipedia.org/wiki/Microsoft_Windows )  operating system by South Korean Internet company Kakao (Link: https://en.wikipedia.org/wiki/Kakao )  (formerly Daum Communications). It competes with other popular Windows media players such as VLC media player (Link: https://en.wikipedia.org/wiki/VLC_media_player ) , mpv (media player) (Link: https://en.wikipedia.org/wiki/Mpv_(media_player) ) , GOM Player (Link: https://en.wikipedia.org/wiki/GOM_Player ) , KMPlayer (Link: https://en.wikipedia.org/wiki/KMPlayer ) , SMPlayer (Link: https://en.wikipedia.org/wiki/SMPlayer )  and Media Player Classic (Link: https://en.wikipedia.org/wiki/Media_Player_Classic ) . Initially, the player was released under the name Daum Live.","Nainstalovaný přehravač Daum PotPlayer. Dostupná videa ve formátu AVI, MKV, MP4.

Testováno na Windows 11.",,,Classic,,,"
1. vybereme soubor AVI, MKV a MP4
2. soubor otevřeme a přehrajeme",,,,Soubor se bez problémů přehraje. ,102
2,SOFT-TC-2,"Daum PotPlayer - přehrávač přehraje audio soubory mp3, flac, cue. ","PotPlayer is a multimedia (Link: https://en.wikipedia.org/wiki/Media_player_(software) )  software player developed for the Microsoft Windows (Link: https://en.wikipedia.org/wiki/Microsoft_Windows )  operating system by South Korean Internet company Kakao (Link: https://en.wikipedia.org/wiki/Kakao )  (formerly Daum Communications). It competes with other popular Windows media players such as VLC media player (Link: https://en.wikipedia.org/wiki/VLC_media_player ) , mpv (media player) (Link: https://en.wikipedia.org/wiki/Mpv_(media_player) ) , GOM Player (Link: https://en.wikipedia.org/wiki/GOM_Player ) , KMPlayer (Link: https://en.wikipedia.org/wiki/KMPlayer ) , SMPlayer (Link: https://en.wikipedia.org/wiki/SMPlayer )  and Media Player Classic (Link: https://en.wikipedia.org/wiki/Media_Player_Classic ) . Initially, the player was released under the name Daum Live.[1] (Link: https://en.wikipedia.org/wiki/PotPlayer#cite_note-:0-1 ) ","Nainstalovaný přehrávač Daum Potplayer. Dostupné soubory ve formátech mp3, flac, cue.

Testováno na Windows 11.",,,Classic,,,"
1. vybereme audio soubor mp3, flac a cue
2. přehrajeme",,,,Soubor se nám v pořádku přehraje.,103
3,SOFT-TC-3,Daum PotPlayer - přehrávač přehraje video soubor s titulky zvlášť,"PotPlayer is a multimedia (Link: https://en.wikipedia.org/wiki/Media_player_(software) )  software player developed for the Microsoft Windows (Link: https://en.wikipedia.org/wiki/Microsoft_Windows )  operating system by South Korean Internet company Kakao (Link: https://en.wikipedia.org/wiki/Kakao )  (formerly Daum Communications). It competes with other popular Windows media players such as VLC media player (Link: https://en.wikipedia.org/wiki/VLC_media_player ) , mpv (media player) (Link: https://en.wikipedia.org/wiki/Mpv_(media_player) ) , GOM Player (Link: https://en.wikipedia.org/wiki/GOM_Player ) , KMPlayer (Link: https://en.wikipedia.org/wiki/KMPlayer ) , SMPlayer (Link: https://en.wikipedia.org/wiki/SMPlayer )  and Media Player Classic (Link: https://en.wikipedia.org/wiki/Media_Player_Classic ) . Initially, the player was released under the name Daum Live.","Nainstalovaný přehrávač Daum Potplayer

Stažené externí titulky ve formátu srt.

Testováno na Windows 11.",,,Classic,,,"
1. vibereme video soubor např. mkv
2. během přehrávání otevřeme titulky srt",,,,Soubor MKV se přehraje s externími titulky srt.,104
4,SOFT-TC-4,Daum PotPlayer - přehrávač se pravidelně aktualizuje,"PotPlayer is a multimedia (Link: https://en.wikipedia.org/wiki/Media_player_(software) )  software player developed for the Microsoft Windows (Link: https://en.wikipedia.org/wiki/Microsoft_Windows )  operating system by South Korean Internet company Kakao (Link: https://en.wikipedia.org/wiki/Kakao )  (formerly Daum Communications). It competes with other popular Windows media players such as VLC media player (Link: https://en.wikipedia.org/wiki/VLC_media_player ) , mpv (media player) (Link: https://en.wikipedia.org/wiki/Mpv_(media_player) ) , GOM Player (Link: https://en.wikipedia.org/wiki/GOM_Player ) , KMPlayer (Link: https://en.wikipedia.org/wiki/KMPlayer ) , SMPlayer (Link: https://en.wikipedia.org/wiki/SMPlayer )  and Media Player Classic (Link: https://en.wikipedia.org/wiki/Media_Player_Classic ) . Initially, the player was released under the name Daum Live.","Nainstalovaný přehrávač Daum Potplayer.

Testováno na Windows 11.
",,,Classic,,,"
1. Jednou za měsíc po zapnutí přehrávače naskočí aktualizace",,,,Program se pravidelně aktualizuje.,105
5,SOFT-TC-5,Daum PotPlayer - přehrávač funguje na Androidu,"PotPlayer is a multimedia (Link: https://en.wikipedia.org/wiki/Media_player_(software) )  software player developed for the Microsoft Windows (Link: https://en.wikipedia.org/wiki/Microsoft_Windows )  operating system by South Korean Internet company Kakao (Link: https://en.wikipedia.org/wiki/Kakao )  (formerly Daum Communications). It competes with other popular Windows media players such as VLC media player (Link: https://en.wikipedia.org/wiki/VLC_media_player ) , mpv (media player) (Link: https://en.wikipedia.org/wiki/Mpv_(media_player) ) , GOM Player (Link: https://en.wikipedia.org/wiki/GOM_Player ) , KMPlayer (Link: https://en.wikipedia.org/wiki/KMPlayer ) , SMPlayer (Link: https://en.wikipedia.org/wiki/SMPlayer )  and Media Player Classic (Link: https://en.wikipedia.org/wiki/Media_Player_Classic ) . Initially, the player was released under the name Daum Live.","Nainstalovaný přehrávač Daum Potplayer.

Tablet s operačním systémem android.

Testováno na Windows 11.
",,,Classic,,,"
1. nainstalujeme Daum PotPlayer na tablet Samsung s operačním systémem android",,,,Daum PotPlayer je dostupný na operačním systému android.,106
6,SOFT-TC-6,Daum PotPlayer - přehraje soubory z externího disku větší než 20 GB,"PotPlayer is a multimedia (Link: https://en.wikipedia.org/wiki/Media_player_(software) )  software player developed for the Microsoft Windows (Link: https://en.wikipedia.org/wiki/Microsoft_Windows )  operating system by South Korean Internet company Kakao (Link: https://en.wikipedia.org/wiki/Kakao )  (formerly Daum Communications). It competes with other popular Windows media players such as VLC media player (Link: https://en.wikipedia.org/wiki/VLC_media_player ) , mpv (media player) (Link: https://en.wikipedia.org/wiki/Mpv_(media_player) ) , GOM Player (Link: https://en.wikipedia.org/wiki/GOM_Player ) , KMPlayer (Link: https://en.wikipedia.org/wiki/KMPlayer ) , SMPlayer (Link: https://en.wikipedia.org/wiki/SMPlayer )  and Media Player Classic (Link: https://en.wikipedia.org/wiki/Media_Player_Classic ) . Initially, the player was released under the name Daum Live.","Nainstalovaný přehrávač Daum Potplayer
",,,Classic,,,"
1. z externího disku spustíme film větší než 20 GB",,,,Daum PotPlayer přehraje soubor větší než 20 GB.,107
7,SOFT-TC-8,Daum PotPlayer - přehraje UHD video,"PotPlayer is a multimedia (Link: https://en.wikipedia.org/wiki/Media_player_(software) )  software player developed for the Microsoft Windows (Link: https://en.wikipedia.org/wiki/Microsoft_Windows )  operating system by South Korean Internet company Kakao (Link: https://en.wikipedia.org/wiki/Kakao )  (formerly Daum Communications). It competes with other popular Windows media players such as VLC media player (Link: https://en.wikipedia.org/wiki/VLC_media_player ) , mpv (media player) (Link: https://en.wikipedia.org/wiki/Mpv_(media_player) ) , GOM Player (Link: https://en.wikipedia.org/wiki/GOM_Player ) , KMPlayer (Link: https://en.wikipedia.org/wiki/KMPlayer ) , SMPlayer (Link: https://en.wikipedia.org/wiki/SMPlayer )  and Media Player Classic (Link: https://en.wikipedia.org/wiki/Media_Player_Classic ) . Initially, the player was released under the name Daum Live.","Nainstalovaný přehrávač Daum Potplayer
",,,Classic,,,"
1. z externího disku Elements(G) spustíme UHD video Ghostbusters 2 1989 2160p 4K UHD.BR (Link: http://UHD.BR )  CZ EN HEVC 10bit",,,,Daum PotPlayer přehraje v pohodě UHD video.,109
8,SOFT-TC-9,Daum PotPlayer - jde nainstalovat do jiného zařízení - notebook,"PotPlayer is a multimedia (Link: https://en.wikipedia.org/wiki/Media_player_(software) )  software player developed for the Microsoft Windows (Link: https://en.wikipedia.org/wiki/Microsoft_Windows )  operating system by South Korean Internet company Kakao (Link: https://en.wikipedia.org/wiki/Kakao )  (formerly Daum Communications). It competes with other popular Windows media players such as VLC media player (Link: https://en.wikipedia.org/wiki/VLC_media_player ) , mpv (media player) (Link: https://en.wikipedia.org/wiki/Mpv_(media_player) ) , GOM Player (Link: https://en.wikipedia.org/wiki/GOM_Player ) , KMPlayer (Link: https://en.wikipedia.org/wiki/KMPlayer ) , SMPlayer (Link: https://en.wikipedia.org/wiki/SMPlayer )  and Media Player Classic (Link: https://en.wikipedia.org/wiki/Media_Player_Classic ) . Initially, the player was released under the name Daum Live.","Nainstalovaný přehrávač Daum Potplayer
",,,Classic,,,"
1. Daum PotPlayer nainstalujeme na notebook Acer
2. Spustíme jakýkoliv film",,,,Daum PotPlayer se v pořádku nainstaluje na notebook.,110
9,SOFT-TC-10,Daum PotPlayer - přehraje film z externí DVD mechaniky,"PotPlayer is a multimedia (Link: https://en.wikipedia.org/wiki/Media_player_(software) )  software player developed for the Microsoft Windows (Link: https://en.wikipedia.org/wiki/Microsoft_Windows )  operating system by South Korean Internet company Kakao (Link: https://en.wikipedia.org/wiki/Kakao )  (formerly Daum Communications). It competes with other popular Windows media players such as VLC media player (Link: https://en.wikipedia.org/wiki/VLC_media_player ) , mpv (media player) (Link: https://en.wikipedia.org/wiki/Mpv_(media_player) ) , GOM Player (Link: https://en.wikipedia.org/wiki/GOM_Player ) , KMPlayer (Link: https://en.wikipedia.org/wiki/KMPlayer ) , SMPlayer (Link: https://en.wikipedia.org/wiki/SMPlayer )  and Media Player Classic (Link: https://en.wikipedia.org/wiki/Media_Player_Classic ) . Initially, the player was released under the name Daum Live.","Nainstalovaný přehrávač Daum Potplayer

Připojená externí DVD mechanika

",,,Classic,,,"
1. k počítači připojíme externí mechaniku
2. otevřeme Daum PotPlayer
3. přehrajeme film",,,,"Film se v pořádku přehraje z externí mechaniky.
",111
10,SOFT-TC-11,Daum PotPlayer - přehravač funguje když se z externího disku kopíruje,"PotPlayer is a multimedia (Link: https://en.wikipedia.org/wiki/Media_player_(software) )  software player developed for the Microsoft Windows (Link: https://en.wikipedia.org/wiki/Microsoft_Windows )  operating system by South Korean Internet company Kakao (Link: https://en.wikipedia.org/wiki/Kakao )  (formerly Daum Communications). It competes with other popular Windows media players such as VLC media player (Link: https://en.wikipedia.org/wiki/VLC_media_player ) , mpv (media player) (Link: https://en.wikipedia.org/wiki/Mpv_(media_player) ) , GOM Player (Link: https://en.wikipedia.org/wiki/GOM_Player ) , KMPlayer (Link: https://en.wikipedia.org/wiki/KMPlayer ) , SMPlayer (Link: https://en.wikipedia.org/wiki/SMPlayer )  and Media Player Classic (Link: https://en.wikipedia.org/wiki/Media_Player_Classic ) . Initially, the player was released under the name Daum Live.","Nainstalovaný přehrávač Daum Potplayer

Připojená externí DVD mechanika

",,,Classic,,,"
1. zkopírujeme soubor na externí disk
2. spustíme přehrávání mp3",,,,Mp3 se v pořádku přehraje.,112
